sgRNA_target	locus	Gene name	Product	condition	wmean_fitness	sd_fitness	p_fitness_adj	comb_score
alaS	sll0362	alaS	alanyl-tRNA synthetase	BG11_Lys	-1.605981712390233	0.9099638970938371	0.3494466145833333	0.7333220246419967
alr	slr0827	alr	alanine racemase	BG11_Control	2.391377207503764	2.143714168545254	0.9741107326334599	0.027241783877591144
alr	slr0827	alr	alanine racemase	BG11_Lys	0.2831544560305387	0.1091463688376678	0.3494466145833333	0.12929375059550066
ama	sll0100	ama	N-acyl-L-amino acid amidohydrolase	BG11_Control	-0.024229837272865706	0.34098293698013427	1	-0
ama	sll0100	ama	N-acyl-L-amino acid amidohydrolase	BG11_Lys	0.12768763689920457	0.20702941686598636	0.6756671701913397	0.02174101415946528
ama2	slr1653	ama	N-acyl-L-amino acid amidohydrolase	BG11_Control	-0.05884184241363542	0.2537841041295748	1	-0
ama2	slr1653	ama	N-acyl-L-amino acid amidohydrolase	BG11_Lys	0.28619227059075497	0.06763417146422682	0.3494466145833333	0.13068087493608185
amiA	slr1910	amiA	probable N-acetylmuramoyl-L-alanine amidase	BG11_Control	-0.018480112213438628	0.17790306252545807	1	-0
amiA	slr1910	amiA	probable N-acetylmuramoyl-L-alanine amidase	BG11_Lys	-0.2305514042551709	0.23123071635386952	0.9768928151425212	0.002340807897500561
amiA2	slr0891	amiA	N-acetylmuramoyl-L-alanine amidase	BG11_Control	0.2190539559112103	0.30271154616307644	0.8301480335837385	0.01770929800897704
amiA2	slr0891	amiA	N-acetylmuramoyl-L-alanine amidase	BG11_Lys	0.7738612020797406	0.7891064278887642	0.8781329755906027	0.0436765048770225
amiA3	slr1744	amiA	N-acetylmuramoyl-L-alanine amidase;  periplasmic protein	BG11_Control	0.785772161443859	0.5206988373987633	0.46665797252651714	0.26009161492000193
amiA3	slr1744	amiA	N-acetylmuramoyl-L-alanine amidase;  periplasmic protein	BG11_Lys	-0.8657525768871234	0.7192158567608098	0.4446239231278993	0.3047511176782463
amiC	slr0447	urtA	periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein	BG11_Control	-0.9926673080693991	0.1426292165714348	0.39064774381368267	0.40522136712807777
amiC	slr0447	urtA	periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein	BG11_Lys	1.755666758769145	0.8114946403733126	0.3494466145833333	0.8016710851713628
ams1	slr0323	ams1	putative alpha-mannosidase	BG11_Control	0.25245597925069857	0.5499041345253318	0.8957777036048065	0.012067333093857633
ams1	slr0323	ams1	putative alpha-mannosidase	BG11_Lys	-0.050454279256690784	0.26889815663400124	0.8781329755906027	0.002847625088451506
amt1	sll0108	amt1	ammonium/methylammonium permease	BG11_Control	0.1614469193076241	0.0725302563598896	0.39064774381368267	0.06590500244003013
amt1	sll0108	amt1	ammonium/methylammonium permease	BG11_Lys	-0.31345554172434975	0.09086530785028137	0.3494466145833333	0.14312980697049188
amt2	sll1017	amt2	ammonium/methylammonium permease	BG11_Control	0.07342361375660957	0.16669702566729522	0.9741107326334599	8.364176973808251e-4
amt2	sll1017	amt2	ammonium/methylammonium permease	BG11_Lys	0.15123481023150775	0.11952179871453787	0.546885613367749	0.0396391732697828
amt3	sll0537	amt3	ammonium/methylammonium permease	BG11_Control	0.02250908789576326	0.33493434541722866	1	-0
amt3	sll0537	amt3	ammonium/methylammonium permease	BG11_Lys	-0.038540033557183113	0.05884799365511306	0.546885613367749	0.010101477732923091
ank	slr1109	ank	similar to ankyrin	BG11_Control	3.69086677219299	1.9921998503377996	0.39064774381368267	1.506665996913316
ank	slr1109	ank	similar to ankyrin	BG11_Lys	0.443719996674071	0.24455739268965357	0.546885613367749	0.11630056469477143
apcA	slr2067	apcA	allophycocyanin alpha subunit	BG11_Control	-1.6917203158203442	0.6033899549798367	0.39064774381368267	0.6905850667212035
apcA	slr2067	apcA	allophycocyanin alpha subunit	BG11_Lys	-1.8642084763980131	1.4186318321051792	0.3494466145833333	0.8512333133808336
apcB	slr1986	apcB	allophycocyanin beta subunit	BG11_Control	-1.2455720534142687	0.23588727685075783	0.39064774381368267	0.5084607967222089
apcB	slr1986	apcB	allophycocyanin beta subunit	BG11_Lys	-1.4789158186260059	0.7187050885793175	0.3494466145833333	0.6753013026379804
apcC	ssr3383	apcC	phycobilisome small core linker polypeptide	BG11_Control	-0.5112829170617668	0.23262464541431488	0.39064774381368267	0.20871319218111717
apcC	ssr3383	apcC	phycobilisome small core linker polypeptide	BG11_Lys	-0.20688513317200258	0.1591324702181396	0.546885613367749	0.05422531775715867
apcD	sll0928	apcD	allophycocyanin-B	BG11_Control	-0.5516094733244594	0.10369950522030358	0.39064774381368267	0.2251750844258784
apcD	sll0928	apcD	allophycocyanin-B	BG11_Lys	0.22621121570849734	0.2483278359122335	0.546885613367749	0.05929075165506585
apcE	slr0335	apcE	phycobilisome core-membrane linker polypeptide	BG11_Control	-1.1725397497682284	0.539547680548531	0.39064774381368267	0.4786479382877773
apcE	slr0335	apcE	phycobilisome core-membrane linker polypeptide	BG11_Lys	-2.0231178572329145	1.4048876770250356	0.4446239231278993	0.7121519989041104
apcF	slr1459	apcF	phycobilisome core component	BG11_Control	-0.3638288790373905	0.5522148444062045	0.5820741758241759	0.08550767005501138
apcF	slr1459	apcF	phycobilisome core component	BG11_Lys	-1.0204614101168747	0.4065445846462722	0.3494466145833333	0.46596223454012764
ape2	sll1343	ape2	aminopeptidase	BG11_Control	-0.8333912150747472	0.8313907127188069	0.9741107326334599	0.009493719056663548
ape2	sll1343	ape2	aminopeptidase	BG11_Lys	-0.49989717315631094	0.5862530808653891	0.9768928151425212	0.005075498258806434
apqZ	slr2057	apqZ	water channel protein	BG11_Control	-0.40600847261450473	0.5159333006577157	0.5820741758241759	0.0954207884973649
apqZ	slr2057	apqZ	water channel protein	BG11_Lys	0.2170158797125286	0.6833282167940797	0.8781329755906027	0.012248314172079265
apt	sll1430	apt	adenine phosphoribosyltransferase	BG11_Control	0.058062454479542835	0.10810109727930134	0.8301480335837385	0.0046940275752320555
apt	sll1430	apt	adenine phosphoribosyltransferase	BG11_Lys	-0.06562312932440369	0.17525648201134125	0.9768928151425212	6.662771796056826e-4
arcC	sll0573	arcC	carbamate kinase	BG11_Control	-0.3523929782388969	0.23212934854806405	0.5820741758241759	0.08281998557310159
arcC	sll0573	arcC	carbamate kinase	BG11_Lys	0.09214375043796856	0.35598626719767673	0.9768928151425212	9.355432877424342e-4
argB	slr1898	argB	N-acetylglutamate kinase	BG11_Control	0.24839207212747907	0.2791782673580811	0.46665797252651714	0.08221810130591836
argB	slr1898	argB	N-acetylglutamate kinase	BG11_Lys	-1.6926004746432346	0.7341536706943672	0.3494466145833333	0.7728738113263027
argC	sll0080	argC	N-acetyl-gamma-glutamyl-phosphate reductase	BG11_Control	-0.056179433804176906	0.17878211033626598	0.8957777036048065	0.0026853629799202003
argC	sll0080	argC	N-acetyl-gamma-glutamyl-phosphate reductase	BG11_Lys	-0.2885853788846381	0.2917690585604691	0.9768928151425212	0.0029300317479250475
argD	slr1022	argD	N-acetylornithine aminotransferase	BG11_Control	-0.767958595866942	0.9345473413244538	0.9741107326334599	0.008748332145133849
argD	slr1022	argD	N-acetylornithine aminotransferase	BG11_Lys	-1.1379968540862289	0.6002360806881246	0.3494466145833333	0.5196311705397297
argF	sll0902	argF	ornithine carbamoyltransferase	BG11_Control	0.027831860623140962	0.1622410188889424	0.7097614513910928	0.0041438187028614605
argF	sll0902	argF	ornithine carbamoyltransferase	BG11_Lys	-0.7946607647170472	0.5221823356656617	0.3494466145833333	0.3628573329260075
argG	slr0585	argG	argininosuccinate synthetase	BG11_Control	-0.08462139134179246	0.1390035032176734	0.9741107326334599	9.639791025525797e-4
argG	slr0585	argG	argininosuccinate synthetase	BG11_Lys	-0.35798094332214625	0.2288541763254795	0.6756671701913397	0.060952406564852034
argH	slr1133	argH	L-argininosuccinate lyase	BG11_Control	0.23973786703897043	0.14021024890302192	0.46665797252651714	0.0793535480832856
argH	slr1133	argH	L-argininosuccinate lyase	BG11_Lys	-0.12643926342985462	0.20428711345741662	1	-0
argJ	sll1883	argJ	arginine biosynthesis bifunctional protein ArgJ	BG11_Control	-0.5935082363394091	0.5949597638352013	0.8957777036048065	0.028369546259561645
argJ	sll1883	argJ	arginine biosynthesis bifunctional protein ArgJ	BG11_Lys	-0.8764604180773412	0.4476795933384989	0.4446239231278993	0.308520354591607
argS	sll0502	argS	arginyl-tRNA-synthetase	BG11_Control	-0.39053013880780524	0.6578621667627884	1	-0
argS	sll0502	argS	arginyl-tRNA-synthetase	BG11_Lys	-0.029668775587013613	0.7460899103413124	0.9768928151425212	3.0122958664085295e-4
aroA	slr0444	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	BG11_Control	-0.7206480649223659	0.5414881766684349	0.7097614513910928	0.10729555490527636
aroA	slr0444	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	BG11_Lys	-0.7807291038200058	0.5061617483406717	0.3494466145833333	0.35649586959375157
aroB	slr2130	aroB	3-dehydroquinate synthase	BG11_Control	-0.6024764540207489	0.3053319004815455	0.46665797252651714	0.19942049561745456
aroB	slr2130	aroB	3-dehydroquinate synthase	BG11_Lys	-1.0208865090438146	0.5714444129610846	0.3494466145833333	0.4661563428561637
aroC	sll1747	aroC	chorismate synthase	BG11_Control	-0.33160903862729263	0.2745683841873392	0.8301480335837385	0.026808752497039793
aroC	sll1747	aroC	chorismate synthase	BG11_Lys	-0.7851850681252751	0.4084322220990668	0.3494466145833333	0.35853054828334213
aroE	slr1559	aroE	shikimate 5-dehydrogenase	BG11_Control	1.9807192229107606	1.577649179261622	0.8301480335837385	0.16013016904772995
aroE	slr1559	aroE	shikimate 5-dehydrogenase	BG11_Lys	-0.034721836016552404	0.33567436092909875	0.546885613367749	0.009100714789129697
aroH	sll0109	aroH	chorismate mutase	BG11_Control	-0.24174218742990186	0.8487169311046721	1	-0
aroH	sll0109	aroH	chorismate mutase	BG11_Lys	-0.03714633634253445	0.8259416981094182	0.8781329755906027	0.0020965285972057886
aroK	sll1669	aroK	shikimate kinase	BG11_Control	-0.8176974706548404	0.45067271494413114	0.46665797252651714	0.2706589340958898
aroK	sll1669	aroK	shikimate kinase	BG11_Lys	-1.2121092394949275	0.7642200153661611	0.6756671701913397	0.2063824249444002
aroQ	sll1112	aroQ	3-dehydroquinate dehydratase	BG11_Control	-0.549607738711192	0.46179009322097414	0.8301480335837385	0.04443273892219347
aroQ	sll1112	aroQ	3-dehydroquinate dehydratase	BG11_Lys	-0.6603260504084236	0.31903591800696285	0.3494466145833333	0.30151752817201216
arsA	sll1957	arsA	transcriptional regulator	BG11_Control	0.08486155656475801	0.06259876563525446	0.5820741758241759	0.019944304581573046
arsA	sll1957	arsA	transcriptional regulator	BG11_Lys	0.40026813363263103	0.3098476686262018	0.8008461931963509	0.038606215522095144
arsC	slr0946	arsC	arsenate reductase	BG11_Control	0.19252169064585467	0.10422778497912583	0.39064774381368267	0.07859018026598294
arsC	slr0946	arsC	arsenate reductase	BG11_Lys	0.05970261702059414	0.25210724387104705	0.8781329755906027	0.0033695986262951227
asd	slr0549	asd	aspartate beta-semialdehyde dehydrogenese	BG11_Control	0.29605658573273186	0.26641650394660016	0.46665797252651714	0.09799511775708254
asd	slr0549	asd	aspartate beta-semialdehyde dehydrogenese	BG11_Lys	0.6399202087739166	0.0922690696630246	0.3494466145833333	0.29219982985297643
aslB	sll1766	aslB	hypothetical protein	BG11_Control	-0.008083681273608602	0.16976378568498005	0.9741107326334599	9.208664258402222e-5
aslB	sll1766	aslB	hypothetical protein	BG11_Lys	-0.12204460374907443	0.07524372227146717	0.4446239231278993	0.04296057602607444
asnS	sll0495	asnS	asparaginyl-tRNA synthetase	BG11_Control	0.1179006757113377	0.1704518645762257	0.5820741758241759	0.02770921347601958
asnS	sll0495	asnS	asparaginyl-tRNA synthetase	BG11_Lys	-0.29896202012751283	0.3339223316359138	0.6756671701913397	0.050903420805456935
aspA	slr1705	aspA	aspartoacylase	BG11_Control	0.28787547934477753	0.20174877537703212	0.39064774381368267	0.11751499656981353
aspA	slr1705	aspA	aspartoacylase	BG11_Lys	2.99591035861341	0.6865860964626899	0.3494466145833333	1.367990079136394
aspC	sll0006	aspC	putative aminotransferase	BG11_Control	0.6614385548739716	0.2019403927248601	0.39064774381368267	0.2700089277630492
aspC	sll0006	aspC	putative aminotransferase	BG11_Lys	-0.22501648228557733	0.11422816540033241	0.3494466145833333	0.1027468377095594
aspC2	sll0402	aspC	aspartate aminotransferase	BG11_Control	-0.7290355083181761	0.26740589403916165	0.39064774381368267	0.2976029964562418
aspC2	sll0402	aspC	aspartate aminotransferase	BG11_Lys	-0.5149879939145768	0.22662793787407834	0.3494466145833333	0.23515338652373968
aspC3	slr0036	aspC	aspartate aminotransferase	BG11_Control	-0.17307907430405642	0.10933313608233489	0.39064774381368267	0.07065341886513363
aspC3	slr0036	aspC	aspartate aminotransferase	BG11_Lys	0.08505465463277467	0.1280777931626491	0.8008461931963509	0.008203596669336696
aspS	slr1720	aspS	aspartyl-tRNA synthetase	BG11_Control	0.13378198193996002	0.28197746498635806	0.7097614513910928	0.019918477114237478
aspS	slr1720	aspS	aspartyl-tRNA synthetase	BG11_Lys	-1.1453850078080006	0.582883029344318	0.3494466145833333	0.5230047431052307
AT103	sll1874	acsF2; cycII; ycf59	hypothetical protein	BG11_Control	0.31768673029469774	0.2758636653199443	0.5820741758241759	0.07466326528769782
AT103	sll1874	acsF2; cycII; ycf59	hypothetical protein	BG11_Lys	0.09214399622333161	0.14553646054057326	0.8008461931963509	0.008887369936198831
atp1	sll1321	atp1	hypothetical protein	BG11_Control	-0.7004722575260907	0.2864300991092659	0.39064774381368267	0.28594305818538074
atp1	sll1321	atp1	hypothetical protein	BG11_Lys	-0.8946544335109547	0.2578327251460106	0.3494466145833333	0.40851635823470417
atpA	sll1326	atpA	ATP synthase alpha chain	BG11_Control	-0.891716519414441	0.4006760439697651	0.39064774381368267	0.3640117732803877
atpA	sll1326	atpA	ATP synthase alpha chain	BG11_Lys	-1.4856872093474636	0.78517850578553	0.3494466145833333	0.6783932493987632
atpB	slr1329	atpB	ATP synthase beta subunit	BG11_Control	-0.9848969669469736	0.505236466544412	0.46665797252651714	0.32600218642557777
atpB	slr1329	atpB	ATP synthase beta subunit	BG11_Lys	-2.0781498355676926	0.8910637005569647	0.3494466145833333	0.9489230376476615
atpC	sll1327	atpC	ATP synthase gamma chain	BG11_Control	-0.7693543780914072	0.5374502973934908	0.46665797252651714	0.25465730712052537
atpC	sll1327	atpC	ATP synthase gamma chain	BG11_Lys	-1.8113740228215938	0.9962758351185353	0.3494466145833333	0.8271080894330164
atpD	sll1325	atpD	ATP synthase delta chain of CF(1)	BG11_Control	-1.0981114946317982	0.4403541775610705	0.39064774381368267	0.4482652319629377
atpD	sll1325	atpD	ATP synthase delta chain of CF(1)	BG11_Lys	-1.6725704790629439	0.7531158431026334	0.3494466145833333	0.7637277315178049
atpE	slr1330	atpE	ATP synthase epsilon chain of CF(1)	BG11_Control	-2.020586655830492	0.5280365468673294	0.39064774381368267	0.8248331343446842
atpE	slr1330	atpE	ATP synthase epsilon chain of CF(1)	BG11_Lys	-1.9449528600392025	1.0245662651576646	0.3494466145833333	0.8881027462226937
atpF	sll1324	atpF	ATP synthase B chain (subunit I) of CF(0)	BG11_Control	-1.0763253349026662	0.32502944886419194	0.39064774381368267	0.43937180174906354
atpF	sll1324	atpF	ATP synthase B chain (subunit I) of CF(0)	BG11_Lys	-0.8783363354181423	0.28666306961677285	0.3494466145833333	0.4010652019485482
atpG	sll1323	atpG	ATP synthase subunit b' of CF(0)	BG11_Control	-0.9378421711734416	0.5473893371560393	0.46665797252651714	0.3104269873755371
atpG	sll1323	atpG	ATP synthase subunit b' of CF(0)	BG11_Lys	-0.9693787917059858	0.44786057068385265	0.3494466145833333	0.44263693209858573
atpH	ssl2615	atpH	ATP synthase C chain of CF(0)	BG11_Control	-0.8856746157295704	0.29389007883616775	0.39064774381368267	0.3615453795034021
atpH	ssl2615	atpH	ATP synthase C chain of CF(0)	BG11_Lys	-1.185410930567479	0.5814527954983962	0.3494466145833333	0.5412813464374439
atpI	sll1322	atpI	ATP synthase A chain of CF(0)	BG11_Control	-0.9190938411067143	0.5842242637248845	0.46665797252651714	0.30422126556026163
atpI	sll1322	atpI	ATP synthase A chain of CF(0)	BG11_Lys	-1.1781086055135213	0.6123303787744532	0.3494466145833333	0.5379469648863662
bchB	ssr2049	bchB	unknown protein	BG11_Control	-0.011125103657140069	0.16173251207877448	1	-0
bchB	ssr2049	bchB	unknown protein	BG11_Lys	-0.08680388408181801	0.10221234848774052	0.6756671701913397	0.014779852762167802
bchE	slr0905	bchE	Mg-protoporphyrin IX monomethyl ester oxidative cyclase	BG11_Control	-0.216113264097853	0.1620249309459929	0.7097614513910928	0.03217658344266515
bchE	slr0905	bchE	Mg-protoporphyrin IX monomethyl ester oxidative cyclase	BG11_Lys	0.3171276359217286	0.23651970325659025	0.8008461931963509	0.030587240980926
bcp	slr0242	bcp	bacterioferritin comigratory protein homolog	BG11_Control	0.18779034365702768	0.15672941652393532	0.39064774381368267	0.07665877497079038
bcp	slr0242	bcp	bacterioferritin comigratory protein homolog	BG11_Lys	0.1773378566700053	0.11266409332399106	0.4446239231278993	0.06242419770919722
bcp2	sll0221	bcp	bacterioferritin comigratory protein	BG11_Control	-0.6515139616250403	0.5213400474387841	0.8301480335837385	0.05267129212724073
bcp2	sll0221	bcp	bacterioferritin comigratory protein	BG11_Lys	-0.10730906916984087	0.19521445390884992	0.9768928151425212	0.0010895180508559566
bfr	slr1890	bfr	bacterioferritin	BG11_Control	0.016395275365057298	0.23996598838192207	1	-0
bfr	slr1890	bfr	bacterioferritin	BG11_Lys	0.017902165520885385	0.22749038164812968	0.9768928151425212	1.8176219992687762e-4
bfr2	sll1341	bfr	bacterioferritin	BG11_Control	0.23108159482274326	0.21348475694720562	0.8301480335837385	0.01868166593971207
bfr2	sll1341	bfr	bacterioferritin	BG11_Lys	-0.00503105713129585	0.15579660144501703	0.8008461931963509	4.8524991023404096e-4
bgl	sll1538	bgl	similar to beta-hexosaminidase a precursor	BG11_Control	0.3821587048651674	0.29142049057372343	0.7097614513910928	0.05689868924411411
bgl	sll1538	bgl	similar to beta-hexosaminidase a precursor	BG11_Lys	-0.3150349704452132	0.18380971674097055	0.4446239231278993	0.11089456955024395
bhy	sll1468	crtR	beta-carotene hydroxylase	BG11_Control	0.4344113673965616	0.2632171090046758	0.39064774381368267	0.17733309716300802
bhy	sll1468	crtR	beta-carotene hydroxylase	BG11_Lys	-0.6664674168048659	0.19255165913693686	0.3494466145833333	0.30432179375309687
bioB	slr1364	bioB	biotin synthetase	BG11_Control	0.08751067047680312	0.6066176236305483	0.8957777036048065	0.00418298830966379
bioB	slr1364	bioB	biotin synthetase	BG11_Lys	-1.3753860807121925	1.0364764873487484	0.4446239231278993	0.484145766961768
bioF	slr0917	bioF	7-keto-8-aminopelargonic acid synthetase	BG11_Control	-1.370964014371376	1.0392784878313757	0.7097614513910928	0.20411953051312043
bioF	slr0917	bioF	7-keto-8-aminopelargonic acid synthetase	BG11_Lys	-1.2600870880805515	0.6610008115473424	0.4446239231278993	0.4435596944397457
bioY	slr1365	bioY	hypothetical protein	BG11_Control	2.125904143690093	1.1418618458676704	0.39064774381368267	0.8678252789091737
bioY	slr1365	bioY	hypothetical protein	BG11_Lys	-0.35980234686100354	0.27923300439450066	0.546885613367749	0.09430545486363467
birA	sll1655	birA	similar to biotin [acetyl-CoA-carboxylase] liga se	BG11_Control	-0.009674368004702345	0.2424505152552661	0.9741107326334599	1.1020722348168869e-4
birA	sll1655	birA	similar to biotin [acetyl-CoA-carboxylase] liga se	BG11_Lys	-0.04483473072450034	0.13516721627478587	1	-0
blaOXA-3	slr0319	blaOXA-3	beta-lactamase	BG11_Control	-2.792397261089536e-4	0.15498116357569192	0.9741107326334599	3.181007264277811e-6
blaOXA-3	slr0319	blaOXA-3	beta-lactamase	BG11_Lys	0.07501475389299447	0.14885866748546311	0.9768928151425212	7.616311377892816e-4
braG_or_livF	sll0374	urtE	urea transport system ATP-binding protein	BG11_Control	0.4958224076442009	0.4734841263171909	0.8301480335837385	0.040084493064616186
braG_or_livF	sll0374	urtE	urea transport system ATP-binding protein	BG11_Lys	0.24653558581697324	0.3041371629750633	0.9768928151425212	0.002503096644150477
brkB	slr0119	brkB	hypothetical protein	BG11_Control	0.5904088346703157	0.8604737563484448	0.8957777036048065	0.028221395629722663
brkB	slr0119	brkB	hypothetical protein	BG11_Lys	0.06233503398044443	0.4876545693486426	0.8781329755906027	0.003518171486487965
btpA	sll0634	btpA	photosystem I biogenesis protein BtpA	BG11_Control	-0.8029304291066155	0.4321437048708282	0.39064774381368267	0.3277679878710885
btpA	sll0634	btpA	photosystem I biogenesis protein BtpA	BG11_Lys	-0.9451357662013143	0.5345206385446523	0.4446239231278993	0.3326945697847916
bvdR	slr1784	bvdR	biliverdin reductase	BG11_Control	-0.04870532090904124	0.15388371195374967	0.9741107326334599	5.548350221493588e-4
bvdR	slr1784	bvdR	biliverdin reductase	BG11_Lys	-0.01626691017750412	0.38684327884149705	0.8781329755906027	9.180997571559814e-4
cad	sll1683	cad	lysine decarboxylase	BG11_Control	0.12232074356552039	0.1338124920973662	0.46665797252651714	0.04048832637912776
cad	sll1683	cad	lysine decarboxylase	BG11_Lys	0.16435206410210698	0.1037431136673571	0.4446239231278993	0.05785310556964608
capA	slr1764	capA	similar to tellurium resistance protein TerE	BG11_Control	-0.07032496448243547	0.04850842221932069	0.8877770426728417	0.003635525674390022
capA	slr1764	capA	similar to tellurium resistance protein TerE	BG11_Lys	0.239798074892877	0.17450112227863077	0.8566070858601981	0.01611882791498831
carA	sll1498	carA	carbamoyl-phosphate synthase small chain	BG11_Control	-0.8481247056268871	0.29152479340364423	0.39064774381368267	0.346216954981254
carA	sll1498	carA	carbamoyl-phosphate synthase small chain	BG11_Lys	-1.6238402900359343	0.6518309227756828	0.3494466145833333	0.7414765934115756
carB	sll0370	pyrA	carbamoyl-phosphate synthase;  pyrimidine-specif ic;  large chain	BG11_Control	-0.9537024679335381	0.4584848164449434	0.39064774381368267	0.389315347395758
carB	sll0370	pyrA	carbamoyl-phosphate synthase;  pyrimidine-specif ic;  large chain	BG11_Lys	-1.939330611313542	0.9254944127748017	0.3494466145833333	0.8855355197177256
cbaB	sll1869	cbaB	probable dioxygenase;  Rieske iron-sulfur compon ent	BG11_Control	-0.19652161514112373	0.17004003206134652	0.8957777036048065	0.009393684384459963
cbaB	sll1869	cbaB	probable dioxygenase;  Rieske iron-sulfur compon ent	BG11_Lys	0.32116094640270226	0.33464475211770867	0.8781329755906027	0.018126231944654837
cbbA	sll0018	fbaA;  fda	fructose-bisphosphate aldolase;  class II	BG11_Control	-2.5961462086593765	1.4642679433194175	0.39064774381368267	1.0597849928022212
cbbA	sll0018	fbaA;  fda	fructose-bisphosphate aldolase;  class II	BG11_Lys	-1.7313786171678245	0.8106607056333233	0.3494466145833333	0.7905806542925683
cbbZp	sll1349	cbbZp	phosphoglycolate phosphatase	BG11_Control	0.27359836201160376	0.09637570504449199	0.39064774381368267	0.11168686769182273
cbbZp	sll1349	cbbZp	phosphoglycolate phosphatase	BG11_Lys	0.5807319898753905	0.21004950297627717	0.3494466145833333	0.26517335490450317
cbiA	sll1501	cobB	cobyrinic acid a; c-diamide synthase	BG11_Control	-0.06733531763328501	0.2525027037116948	0.9741107326334599	7.670618271927371e-4
